scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,32,9100000,291200000,0,3110.1232692599297,36400000,25087.69989013672,99523.94461631775,6.365060806274414,1112.5586032867432
w,32,9100000,291200000,1,2036.4051386713982,36400000,23628.02267074585,99523.94461631775,6.365060806274414,1508.9564323425293
w,32,9100000,291200000,2,2438.8338699936867,36400000,23843.71829032898,99523.94461631775,6.365060806274414,1825.0494003295898
w,32,9100000,291200000,3,2041.6634678840637,36400000,24845.780849456787,99523.94461631775,6.365060806274414,1521.268606185913
w,32,9100000,291200000,4,2022.2873911261559,36400000,23620.262145996094,99523.94461631775,6.365060806274414,684.2010021209717
w,32,9100000,291200000,5,2095.4309925436974,36400000,23753.499269485474,99523.94461631775,6.365060806274414,1162.2495651245117
w,32,9100000,291200000,6,2027.4943336844444,36400000,23548.823833465576,99523.94461631775,6.365060806274414,782.8354835510254
w,32,9100000,291200000,7,2161.204606294632,36400000,23602.76746749878,99523.94461631775,6.365060806274414,666.2585735321045
w,32,9100000,291200000,8,2110.202021896839,36400000,23552.87742614746,99523.94461631775,6.365060806274414,841.8643474578857
w,32,9100000,291200000,9,2047.1779853105545,36400000,23886.140823364258,99523.94461631775,6.365060806274414,656.2826633453369
