scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,1,9100000,9100000,0,2638.798713684082,36400000,12744.282722473145,2638.798713684082,6.194829940795898,0.12302398681640625
w,1,9100000,9100000,1,1776.9570350646973,36400000,11644.113779067993,2638.798713684082,6.194829940795898,0.13446807861328125
w,1,9100000,9100000,2,1760.6687545776367,36400000,11579.890727996826,2638.798713684082,6.194829940795898,0.1380443572998047
w,1,9100000,9100000,3,1779.6614170074463,36400000,11613.539457321167,2638.798713684082,6.194829940795898,0.12803077697753906
w,1,9100000,9100000,4,1773.2057571411133,36400000,11584.091424942017,2638.798713684082,6.194829940795898,0.12731552124023438
w,1,9100000,9100000,5,1779.2701721191406,36400000,11632.720708847046,2638.798713684082,6.194829940795898,0.12350082397460938
w,1,9100000,9100000,6,1776.0717868804932,36400000,11612.179279327393,2638.798713684082,6.194829940795898,0.12278556823730469
w,1,9100000,9100000,7,1771.4428901672363,36400000,11592.053651809692,2638.798713684082,6.194829940795898,0.12063980102539062
w,1,9100000,9100000,8,1788.9378070831299,36400000,11646.392107009888,2638.798713684082,6.194829940795898,0.13327598571777344
w,1,9100000,9100000,9,1806.9040775299072,36400000,11704.926252365112,2638.798713684082,6.194829940795898,0.148773193359375
