scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,16,284375,4550000,0,72.04747200012207,1137500,0.09132704734802247,80.75976371765137
s,16,284375,4550000,1,63.814133405685425,1137500,0.07764735221862792,80.75976371765137
s,16,284375,4550000,2,63.42799961566925,1137500,0.07629127502441406,80.75976371765137
s,16,284375,4550000,3,65.58600068092346,1137500,0.07647383213043213,80.75976371765137
s,16,284375,4550000,4,63.52029740810394,1137500,0.07742524147033691,80.75976371765137
s,16,284375,4550000,5,80.69801330566406,1137500,0.07797009944915771,80.75976371765137
s,16,284375,4550000,6,67.88349151611328,1137500,0.07663006782531738,80.75976371765137
s,16,284375,4550000,7,68.71992349624634,1137500,0.07523152828216553,80.75976371765137
s,16,284375,4550000,8,63.97294998168945,1137500,0.07487375736236572,80.75976371765137
s,16,284375,4550000,9,66.01586937904358,1137500,0.0756535291671753,80.75976371765137
