scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,8,568750,4550000,0,122.4273145198822,2275000,1717.4832820892334,979.4185161590576,1.8773078918457031,863.8839721679688
s,8,568750,4550000,1,120.44063210487366,2275000,1303.9343357086182,979.4185161590576,1.8773078918457031,1.5277862548828125
s,8,568750,4550000,2,116.48836731910706,2275000,1283.4115028381348,979.4185161590576,1.8773078918457031,6.294965744018555
s,8,568750,4550000,3,123.5857605934143,2275000,1291.607141494751,988.6860847473145,1.8773078918457031,14.196395874023438
s,8,568750,4550000,4,138.51165771484375,2275000,1296.2486743927002,1108.09326171875,1.8773078918457031,22.353172302246094
s,8,568750,4550000,5,117.70132184028625,2275000,1263.977289199829,1108.09326171875,1.8773078918457031,7.687807083129883
s,8,568750,4550000,6,120.86912989616394,2275000,1263.6213302612305,1108.09326171875,1.8773078918457031,16.89600944519043
s,8,568750,4550000,7,119.22875046730042,2275000,1272.1164226531982,1108.09326171875,1.8773078918457031,15.012979507446289
s,8,568750,4550000,8,118.09557676315308,2275000,1231.4629554748535,1108.09326171875,1.8773078918457031,21.992921829223633
s,8,568750,4550000,9,120.98884582519531,2275000,1227.3926734924316,1108.09326171875,1.8773078918457031,29.9532413482666
