scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,4,9100000,36400000,0,4547.412574291229,40437898,7.025957107543945,18189.650297164917,3110.8663082122803,4100.660085678101,316.6048526763916,4546.207904815674,4107.676982879639,10240,18189.650297164917,181.89650297164917,0.0030324144460775852,0.0002,0.0032324144460775853
w,4,9100000,36400000,1,4602.284073829651,40437898,4.755735397338867,18409.136295318604,3110.8663082122803,129.7292709350586,316.6048526763916,4473.928928375244,134.4749927520752,10240,18409.136295318604,184.09136295318604,0.003068995518931866,0.0002,0.003268995518931866
w,4,9100000,36400000,2,4621.465086936951,40437898,4.794836044311523,18485.860347747803,3110.8663082122803,158.6008071899414,316.6048526763916,4463.98663520813,163.38658332824707,10240,18485.860347747803,184.85860347747803,0.003081782886578083,0.0002,0.003281782886578083
w,4,9100000,36400000,3,4585.984110832214,40437898,21.637916564941406,18485.860347747803,3110.8663082122803,117.51031875610352,316.6048526763916,4468.32537651062,139.13464546203613,10240,18485.860347747803,184.85860347747803,0.003081782886578083,0.0002,0.003281782886578083
w,4,9100000,36400000,4,4576.793074607849,40437898,6.042718887329102,18485.860347747803,3110.8663082122803,122.79129028320312,316.6048526763916,4455.175399780273,128.82304191589355,10240,18485.860347747803,184.85860347747803,0.003081782886578083,0.0002,0.003281782886578083
w,4,9100000,36400000,5,4694.36901807785,40437898,4.719734191894531,18777.4760723114,3110.8663082122803,125.11324882507324,316.6048526763916,4571.762323379517,129.8222541809082,10240,18777.4760723114,187.774760723114,0.0031303856045439243,0.0002,0.0033303856045439244
w,4,9100000,36400000,6,4704.9331068992615,40437898,9.765148162841797,18819.732427597046,3110.8663082122803,163.91801834106445,316.6048526763916,4540.725231170654,173.67172241210938,10240,18819.732427597046,188.19732427597046,0.0031374283445103172,0.0002,0.0033374283445103173
w,4,9100000,36400000,7,4603.927195072174,40437898,4.998922348022461,18819.732427597046,3110.8663082122803,122.75099754333496,316.6048526763916,4482.197284698486,127.73942947387695,10240,18819.732427597046,188.19732427597046,0.0031374283445103172,0.0002,0.0033374283445103173
w,4,9100000,36400000,8,4597.360193729401,40437898,9.781122207641602,18819.732427597046,3110.8663082122803,134.21916961669922,316.6048526763916,4467.620611190796,143.98884773254395,10240,18819.732427597046,188.19732427597046,0.0031374283445103172,0.0002,0.0033374283445103173
w,4,9100000,36400000,9,4545.359313488007,40437898,9.96851921081543,18819.732427597046,3110.8663082122803,124.84264373779297,316.6048526763916,4421.870231628418,134.79971885681152,10240,18819.732427597046,188.19732427597046,0.0031374283445103172,0.0002,0.0033374283445103173
