rank,avg_t,tot_l,time1,time2,time3,time4,time5,time6,time7,elapsed_t,max_t,com_init_t,barrier_t
0,474.7164249420166,7,8.893013000488281e-05,1.9788742065429688e-05,7.390975952148438e-05,0.0005106925964355469,0.005178928375244141,0.043824195861816406,0.4249451160430908,0.10037422180175781,474.7164249420166,1.0483264923095703,0.07271766662597656
1,467.6022529602051,7,5.4836273193359375e-05,1.1444091796875e-05,5.53131103515625e-05,0.00048160552978515625,0.004798173904418945,0.04157543182373047,0.42055463790893555,0.09799003601074219,474.7164249420166,1.0483264923095703,0.060558319091796875
2,467.85879135131836,7,5.269050598144531e-05,1.0728836059570312e-05,5.245208740234375e-05,0.0004296302795410156,0.004725217819213867,0.041543006896972656,0.4209728240966797,0.10180473327636719,474.7164249420166,1.0483264923095703,0.06365776062011719
3,470.80469131469727,7,5.2928924560546875e-05,1.1682510375976562e-05,5.4836273193359375e-05,0.0004532337188720703,0.0047931671142578125,0.041573286056518555,0.42379260063171387,0.09965896606445312,474.7164249420166,1.0483264923095703,0.06222724914550781
4,471.423864364624,7,5.459785461425781e-05,1.1682510375976562e-05,4.38690185546875e-05,0.0004875659942626953,0.004649162292480469,0.04133749008178711,0.42476344108581543,0.09703636169433594,474.7164249420166,1.0483264923095703,0.06556510925292969
5,473.5875129699707,7,5.53131103515625e-05,1.239776611328125e-05,4.410743713378906e-05,0.0004916191101074219,0.004807710647583008,0.041799068450927734,0.4263012409210205,0.10347366333007812,474.7164249420166,1.0483264923095703,0.06508827209472656
6,473.9532470703125,7,5.698204040527344e-05,1.3828277587890625e-05,5.5789947509765625e-05,0.000438690185546875,0.0046880245208740234,0.04233098030090332,0.42629313468933105,0.09870529174804688,474.7164249420166,1.0483264923095703,0.06389617919921875
7,474.79724884033203,7,5.626678466796875e-05,1.2874603271484375e-05,5.745887756347656e-05,0.0004794597625732422,0.004834175109863281,0.041864633560180664,0.42737865447998047,0.10561943054199219,474.79724884033203,1.0483264923095703,0.09107589721679688
8,475.83842277526855,7,5.888938903808594e-05,1.33514404296875e-05,5.5789947509765625e-05,0.0004878044128417969,0.004873991012573242,0.04249906539916992,0.42777514457702637,0.10585784912109375,475.83842277526855,1.0483264923095703,0.0629425048828125
9,474.1556644439697,7,5.984306335449219e-05,1.3828277587890625e-05,4.029273986816406e-05,0.00048828125,0.004841804504394531,0.042746782302856445,0.4258875846862793,0.09799003601074219,475.83842277526855,1.0483264923095703,0.06461143493652344
