channel,collective,msg_size,payload_bytes,latency_p50_ms,latency_p99_ms,latency_mean_ms,throughput_MBps,barrier_latency_ms,reps,unsupported,rank,world_size,N,run_id
fmi-direct-redis,scatter,8,8,0.470052,0.638959,0.48093,0.0162,0.0,20,False,0,64,64,4
fmi-direct-redis,scatter,64,64,0.456826,0.54632,0.459548,0.1336,0.0,20,False,0,64,64,4
fmi-direct-redis,scatter,512,512,0.477332,0.532346,0.484357,1.0229,0.0,20,False,0,64,64,4
fmi-direct-redis,scatter,4096,4096,0.718474,0.752862,0.715875,5.4369,0.0,20,False,0,64,64,4
fmi-direct-redis,scatter,32768,32768,2.740176,2.856709,2.736645,11.4044,0.0,20,False,0,64,64,4
fmi-direct-redis,scatter,262144,262144,44.996607,48.253275,45.126847,5.556,0.0,20,False,0,64,64,4
fmi-direct-redis,scatter,1048576,1048576,261.29659,268.600418,261.638493,3.8271,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,8,4,0.463727,0.545456,0.470984,0.0082,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,64,4,0.472112,0.808553,0.501176,0.0081,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,512,8,0.456388,0.551043,0.471389,0.0167,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,4096,64,0.560617,0.613273,0.569824,0.1089,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,32768,512,1.528263,1.566035,1.526992,0.3195,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,262144,4096,16.595535,20.040793,16.823261,0.2354,0.0,20,False,0,64,64,4
fmi-direct-redis,scatterv,1048576,16384,108.22033,113.755788,109.067055,0.1444,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,8,8,4.306387,4.508759,4.32117,0.0018,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,64,64,4.393978,4.654229,4.408252,0.0139,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,512,512,4.448378,4.53438,4.440304,0.1098,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,4096,4096,4.51211,4.69175,4.505546,0.8657,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,32768,32768,4.934972,5.579447,4.967779,6.3324,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,262144,262144,229.828591,253.79058,183.891127,1.0878,0.0,20,False,0,64,64,4
fmi-direct-redis,gather,1048576,1048576,234.432053,288.843739,172.640927,4.2656,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,8,8,2.207279,2.319317,2.210261,0.0035,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,64,64,2.217505,2.319351,2.204391,0.0275,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,512,512,2.274884,2.393583,2.282533,0.2146,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,4096,4096,2.568602,3.062855,2.564577,1.5208,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,32768,32768,10.850432,12.794019,10.834106,2.8801,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,262144,262144,82.58339,108.784097,84.59942,3.0272,0.0,20,False,0,64,64,4
fmi-direct-redis,allgather,1048576,1048576,331.156079,349.653907,333.578078,3.0197,0.0,20,False,0,64,64,4
fmi-direct-redis,reduce,8,8,3.836688,4.044865,3.856794,0.002,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,8,8,0.137943,0.164141,0.137962,0.0553,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,64,64,0.131458,0.161907,0.136193,0.4643,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,512,512,0.135251,0.195759,0.137429,3.6102,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,4096,4096,0.136865,0.18568,0.140981,28.5408,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,32768,32768,0.207965,0.241157,0.208755,150.2657,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,262144,262144,0.628444,0.661619,0.632372,397.8079,0.0,20,False,0,64,64,4
fmi-direct-redis,broadcast,1048576,1048576,2.00635,2.106915,1.988626,498.4175,0.0,20,False,0,64,64,4
fmi-direct-redis,allreduce,8,8,4.329475,4.506976,4.309134,0.0018,0.0,20,False,0,64,64,4
fmi-direct-redis,barrier,0,0,2.10168,4.297049,2.172774,0.0,2.10168,20,False,0,64,64,4
