scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,16,9100000,145600000,0,807.0651292800903,10103748,838.0396366119385,12913.042068481445,4.500389099121094,3868.2191371917725,292.36817359924316,11963.711261749268,4706.245422363281,10240,12913.042068481445,129.13042068481445,0.002155377982427597,0.0005,0.002655377982427597
w,16,9100000,145600000,1,800.67078769207,10103748,847.6450443267822,12913.042068481445,4.500389099121094,1087.8934860229492,292.36817359924316,11830.672025680542,1935.5239868164062,10240,12913.042068481445,129.13042068481445,0.002155377982427597,0.0005,0.002655377982427597
w,16,9100000,145600000,2,769.1649049520493,10103748,869.6930408477783,12913.042068481445,4.500389099121094,795.4943180084229,292.36817359924316,11624.091863632202,1665.174961090088,10240,12913.042068481445,129.13042068481445,0.002155377982427597,0.0005,0.002655377982427597
w,16,9100000,145600000,3,786.5601629018784,10103748,834.9575996398926,12913.042068481445,4.500389099121094,970.9286689758301,292.36817359924316,11744.758367538452,1805.8736324310303,10240,12913.042068481445,129.13042068481445,0.002155377982427597,0.0005,0.002655377982427597
w,16,9100000,145600000,4,776.4186412096024,10103748,834.4933986663818,12913.042068481445,4.500389099121094,1202.965259552002,292.36817359924316,11580.16037940979,2037.4460220336914,10240,12913.042068481445,129.13042068481445,0.002155377982427597,0.0005,0.002655377982427597
w,16,9100000,145600000,5,810.0340366363525,10103748,1019.4931030273438,12960.54458618164,4.500389099121094,914.0033721923828,292.36817359924316,12216.33791923523,1933.4838390350342,10240,12960.54458618164,129.6054458618164,0.0021632950845451356,0.0005,0.0026632950845451356
w,16,9100000,145600000,6,799.2624193429947,10103748,836.277961730957,12960.54458618164,4.500389099121094,1211.1873626708984,292.36817359924316,11840.188026428223,2047.4517345428467,10240,12960.54458618164,129.6054458618164,0.0021632950845451356,0.0005,0.0026632950845451356
w,16,9100000,145600000,7,789.4309461116791,10103748,833.1334590911865,12960.54458618164,4.500389099121094,1321.7175006866455,292.36817359924316,11629.687309265137,2154.8378467559814,10240,12960.54458618164,129.6054458618164,0.0021632950845451356,0.0005,0.0026632950845451356
w,16,9100000,145600000,8,829.2791098356247,10103748,1104.6533584594727,13268.465757369995,4.500389099121094,1147.1397876739502,292.36817359924316,12467.982530593872,2251.7807483673096,10240,13268.465757369995,132.68465757369995,0.0022146153823835854,0.0005,0.0027146153823835854
w,16,9100000,145600000,9,818.4725493192673,10103748,834.7983360290527,13268.465757369995,4.500389099121094,1871.5002536773682,292.36817359924316,11822.403192520142,2706.2861919403076,10240,13268.465757369995,132.68465757369995,0.0022146153823835854,0.0005,0.0027146153823835854
