scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,2,9100000,18200000,0,2619.8641061782837,10115842,707.9744338989258,5239.728212356567,4.804849624633789,1212.949275970459,228.33728790283203,4330.543994903564,1920.912504196167,10240,5239.728212356567,52.397282123565674,0.0008736897819688321,0.00015000000000000001,0.001023689781968832
w,2,9100000,18200000,1,2631.3236951828003,10115842,708.9526653289795,5262.647390365601,4.804849624633789,1012.0136737823486,228.33728790283203,4352.532863616943,1720.9551334381104,10240,5262.647390365601,52.626473903656006,0.0008775096526100636,0.00015000000000000001,0.0010275096526100637
w,2,9100000,18200000,2,2679.259419441223,10115842,708.5075378417969,5358.518838882446,4.804849624633789,1120.4161643981934,228.33728790283203,4246.055364608765,1828.9124965667725,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,3,2592.6196575164795,10115842,708.0473899841309,5358.518838882446,4.804849624633789,912.1723175048828,228.33728790283203,4375.373125076294,1620.2082633972168,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,4,2566.3554668426514,10115842,708.7574005126953,5358.518838882446,4.804849624633789,1015.4681205749512,228.33728790283203,4219.662189483643,1724.212646484375,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,5,2575.2300024032593,10115842,708.514928817749,5358.518838882446,4.804849624633789,913.5022163391113,228.33728790283203,4339.375972747803,1622.0049858093262,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,6,2610.788345336914,10115842,708.0767154693604,5358.518838882446,4.804849624633789,1115.88716506958,228.33728790283203,4208.244800567627,1823.9526748657227,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,7,2513.3731365203857,10115842,708.2095146179199,5358.518838882446,4.804849624633789,914.217472076416,228.33728790283203,4214.977741241455,1622.4169731140137,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,8,2550.3681898117065,10115842,708.3711624145508,5358.518838882446,4.804849624633789,915.0843620300293,228.33728790283203,4288.676738739014,1623.4445571899414,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
w,2,9100000,18200000,9,2569.792866706848,10115842,708.6026668548584,5358.518838882446,4.804849624633789,915.7059192657471,228.33728790283203,4326.539993286133,1624.297857284546,10240,5358.518838882446,53.58518838882446,0.0008934882593200208,0.00015000000000000001,0.0010434882593200207
