channel,collective,msg_size,payload_bytes,latency_p50_ms,latency_p99_ms,latency_mean_ms,throughput_MBps,barrier_latency_ms,reps,unsupported,rank,world_size,N,run_id
ucc,scatter,8,8,0.148456,0.170488,0.149418,0.0514,0.0,20,False,0,16,16,2
ucc,scatter,64,64,0.146434,0.165248,0.148316,0.4168,0.0,20,False,0,16,16,2
ucc,scatter,512,512,0.147815,0.163098,0.146754,3.3033,0.0,20,False,0,16,16,2
ucc,scatter,4096,4096,0.17364,0.205948,0.177876,22.4963,0.0,20,False,0,16,16,2
ucc,scatter,32768,32768,0.337296,0.38198,0.344568,92.6486,0.0,20,False,0,16,16,2
ucc,scatter,262144,262144,1.647663,1.859989,1.675087,151.73,0.0,20,False,0,16,16,2
ucc,scatter,1048576,1048576,30.139799,37.905375,30.575597,33.1787,0.0,20,False,0,16,16,2
ucc,scatterv,8,4,0.143602,0.176404,0.144633,0.0266,0.0,20,False,0,16,16,2
ucc,scatterv,64,4,0.140662,0.22273,0.145077,0.0271,0.0,20,False,0,16,16,2
ucc,scatterv,512,32,0.140535,0.164854,0.141886,0.2172,0.0,20,False,0,16,16,2
ucc,scatterv,4096,256,0.156767,0.186996,0.15868,1.5573,0.0,20,False,0,16,16,2
ucc,scatterv,32768,2048,0.274399,0.435055,0.299809,7.1178,0.0,20,False,0,16,16,2
ucc,scatterv,262144,16384,0.968738,1.313386,0.997463,16.1292,0.0,20,False,0,16,16,2
ucc,scatterv,1048576,65536,7.144944,7.369324,7.116539,8.7474,0.0,20,False,0,16,16,2
ucc,gather,8,8,0.176551,0.279051,0.185823,0.0432,0.0,20,False,0,16,16,2
ucc,gather,64,64,0.162343,0.464412,0.190342,0.376,0.0,20,False,0,16,16,2
ucc,gather,512,512,0.154516,0.547027,0.184484,3.1601,0.0,20,False,0,16,16,2
ucc,gather,4096,4096,0.145131,0.210625,0.151163,26.9153,0.0,20,False,0,16,16,2
ucc,gather,32768,32768,0.29561,0.464428,0.308133,105.7136,0.0,20,False,0,16,16,2
ucc,gather,262144,262144,2.047404,2.387787,2.030508,122.1058,0.0,20,False,0,16,16,2
ucc,gather,1048576,1048576,8.514364,8.814289,8.517831,117.4486,0.0,20,False,0,16,16,2
ucc,allgather,8,8,0.426588,0.723565,0.433062,0.0179,0.0,20,False,0,16,16,2
ucc,allgather,64,64,0.518668,0.634492,0.509391,0.1177,0.0,20,False,0,16,16,2
ucc,allgather,512,512,0.929109,1.465561,0.971982,0.5255,0.0,20,False,0,16,16,2
ucc,allgather,4096,4096,1.091321,1.412856,1.101986,3.5794,0.0,20,False,0,16,16,2
ucc,allgather,32768,32768,1.266591,1.53142,1.211049,24.6725,0.0,20,False,0,16,16,2
ucc,allgather,262144,262144,3.54728,3.76932,3.491342,70.4765,0.0,20,False,0,16,16,2
ucc,allgather,1048576,1048576,12.242689,14.835253,12.5714,81.6814,0.0,20,False,0,16,16,2
ucc,reduce,8,8,0.088645,0.194392,0.096168,0.0861,0.0,20,False,0,16,16,2
ucc,broadcast,8,8,0.096713,0.113188,0.097939,0.0789,0.0,20,False,0,16,16,2
ucc,broadcast,64,64,0.105097,0.122567,0.107571,0.5808,0.0,20,False,0,16,16,2
ucc,broadcast,512,512,0.099909,0.133572,0.100898,4.8872,0.0,20,False,0,16,16,2
ucc,broadcast,4096,4096,0.109397,0.119286,0.109497,35.7073,0.0,20,False,0,16,16,2
ucc,broadcast,32768,32768,0.126679,0.138373,0.124082,246.6865,0.0,20,False,0,16,16,2
ucc,broadcast,262144,262144,0.171668,0.190834,0.170622,1456.2994,0.0,20,False,0,16,16,2
ucc,broadcast,1048576,1048576,0.351051,0.41575,0.357417,2848.593,0.0,20,False,0,16,16,2
ucc,allreduce,8,8,0.270648,0.411376,0.274545,0.0282,0.0,20,False,0,16,16,2
ucc,barrier,0,0,0.137508,0.217876,0.141041,0.0,0.137508,20,False,0,16,16,2
