scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,2,2275000,4550000,0,958.081841468811,5057593,0.8327960968017578,1916.163682937622,869.0264225006104,2.921581268310547
s,2,2275000,4550000,1,931.3244819641113,5057593,0.6589889526367188,1916.163682937622,869.0264225006104,0.217437744140625
s,2,2275000,4550000,2,936.646580696106,5057593,0.667572021484375,1916.163682937622,869.0264225006104,0.1952648162841797
s,2,2275000,4550000,3,921.6964244842529,5057593,0.6461143493652344,1916.163682937622,869.0264225006104,0.20647048950195312
s,2,2275000,4550000,4,924.9098300933838,5057593,0.6453990936279297,1916.163682937622,869.0264225006104,0.17833709716796875
s,2,2275000,4550000,5,929.2356967926025,5057593,0.6535053253173828,1916.163682937622,869.0264225006104,0.15211105346679688
s,2,2275000,4550000,6,916.2181615829468,5057593,0.6301403045654297,1916.163682937622,869.0264225006104,0.21719932556152344
s,2,2275000,4550000,7,921.6365814208984,5057593,0.6341934204101562,1916.163682937622,869.0264225006104,0.18668174743652344
s,2,2275000,4550000,8,923.4168529510498,5057593,0.6330013275146484,1916.163682937622,869.0264225006104,0.21719932556152344
s,2,2275000,4550000,9,942.0318603515625,5057593,0.6389617919921875,1916.163682937622,869.0264225006104,0.1785755157470703
