scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,1,4550000,4550000,0,1607.7206134796143,5056602,0.29540061950683594,1607.7206134796143,25.832653045654297,0.04315376281738281
s,1,4550000,4550000,1,1597.7437496185303,5056602,0.11205673217773438,1607.7206134796143,25.832653045654297,0.021219253540039062
s,1,4550000,4550000,2,1594.2306518554688,5056602,0.11181831359863281,1607.7206134796143,25.832653045654297,0.01811981201171875
s,1,4550000,4550000,3,1596.15159034729,5056602,0.1125335693359375,1607.7206134796143,25.832653045654297,0.017404556274414062
s,1,4550000,4550000,4,1594.0399169921875,5056602,0.1125335693359375,1607.7206134796143,25.832653045654297,0.018596649169921875
s,1,4550000,4550000,5,1599.0729331970215,5056602,0.11229515075683594,1607.7206134796143,25.832653045654297,0.019550323486328125
s,1,4550000,4550000,6,1608.9422702789307,5056602,0.11229515075683594,1608.9422702789307,25.832653045654297,0.018835067749023438
s,1,4550000,4550000,7,1595.9641933441162,5056602,0.11086463928222656,1608.9422702789307,25.832653045654297,0.018358230590820312
s,1,4550000,4550000,8,1609.1716289520264,5056602,0.110626220703125,1609.1716289520264,25.832653045654297,0.018596649169921875
s,1,4550000,4550000,9,1598.6483097076416,5056602,0.11491775512695312,1609.1716289520264,25.832653045654297,0.019311904907226562
