scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,64,9100000,582400000,0,5472.763817757368,647102085,3.2122135162353516,350256.88433647156,82458.22405815125,251.94835662841797
w,64,9100000,582400000,1,5580.448754131794,647102085,2.7823448181152344,357148.7202644348,82458.22405815125,203.2480239868164
w,64,9100000,582400000,2,5357.257414609194,647102085,2.8171539306640625,357148.7202644348,82458.22405815125,119.34828758239746
w,64,9100000,582400000,3,5393.407613039017,647102085,2.8650760650634766,357148.7202644348,82458.22405815125,52.09183692932129
w,64,9100000,582400000,4,5449.871268123388,647102085,2.9993057250976562,357148.7202644348,82458.22405815125,129.7001838684082
w,64,9100000,582400000,5,5422.038227319717,647102085,2.809762954711914,357148.7202644348,82458.22405815125,162.77742385864258
w,64,9100000,582400000,6,5527.027241885662,647102085,2.9251575469970703,357148.7202644348,82458.22405815125,212.81719207763672
w,64,9100000,582400000,7,5503.9452612400055,647102085,2.9506683349609375,357148.7202644348,82458.22405815125,244.84491348266602
w,64,9100000,582400000,8,5409.362234175205,647102085,2.7208328247070312,357148.7202644348,82458.22405815125,143.5532569885254
w,64,9100000,582400000,9,5515.839654952288,647102085,2.803325653076172,357148.7202644348,82458.22405815125,168.34568977355957
