scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,2,9100000,18200000,0,4136.713981628418,20222454,0.41374161243438723,4136.7151737213135
w,2,9100000,18200000,1,4123.580455780029,20222454,0.4124144077301025,4136.7151737213135
w,2,9100000,18200000,2,4147.242546081543,20222454,0.4147807121276855,4147.310495376587
w,2,9100000,18200000,3,4152.9600620269775,20222454,0.4153568267822266,4153.020620346069
w,2,9100000,18200000,4,4217.552900314331,20222454,0.4218186140060425,4217.521667480469
w,2,9100000,18200000,5,4127.701163291931,20222454,0.4128288507461548,4217.521667480469
w,2,9100000,18200000,6,4149.232506752014,20222454,0.41498408317565916,4217.521667480469
w,2,9100000,18200000,7,4128.256916999817,20222454,0.41288342475891116,4217.521667480469
w,2,9100000,18200000,8,4152.062773704529,20222454,0.4152662754058838,4217.521667480469
w,2,9100000,18200000,9,4114.804148674011,20222454,0.4115399122238159,4217.521667480469
