scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,4,9100000,36400000,0,4417.018890380859,40437898,0.44184513092041017,4416.802644729614
w,4,9100000,36400000,1,4489.103376865387,40437898,0.44898598194122313,4489.125728607178
w,4,9100000,36400000,2,4398.317337036133,40437898,0.43991472721099856,4489.125728607178
w,4,9100000,36400000,3,4380.803763866425,40437898,0.4381744861602783,4489.125728607178
w,4,9100000,36400000,4,4370.8226680755615,40437898,0.4371645927429199,4489.125728607178
w,4,9100000,36400000,5,4452.631294727325,40437898,0.44534640312194823,4489.125728607178
w,4,9100000,36400000,6,4382.06934928894,40437898,0.43829002380371096,4489.125728607178
w,4,9100000,36400000,7,4325.348973274231,40437898,0.4326168537139893,4489.125728607178
w,4,9100000,36400000,8,4366.8317794799805,40437898,0.4367659568786621,4489.125728607178
w,4,9100000,36400000,9,4396.764934062958,40437898,0.4397705316543579,4489.125728607178
