scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,4,9100000,36400000,0,1833.1125974655151,10105979,1410.1006984710693,7332.450389862061,38.6354923248291,616.2996292114258,325.98328590393066,6941.558599472046,2026.388168334961,10240,7332.450389862061,73.3245038986206,0.0012228775091271402,0.0002,0.0014228775091271403
w,4,9100000,36400000,1,1651.7371535301208,10105979,1393.51224899292,7332.450389862061,38.6354923248291,307.389497756958,325.98328590393066,6503.943204879761,1700.8891105651855,10240,7332.450389862061,73.3245038986206,0.0012228775091271402,0.0002,0.0014228775091271403
w,4,9100000,36400000,2,1966.8322801589966,10105979,1333.4112167358398,7867.329120635986,38.6354923248291,1963.4897708892822,325.98328590393066,6195.601940155029,3296.8876361846924,10240,7867.329120635986,78.67329120635986,0.001312024142549038,0.0002,0.0015120241425490382
w,4,9100000,36400000,3,1684.9053502082825,10105979,1303.9934635162354,7867.329120635986,38.6354923248291,723.4823703765869,325.98328590393066,6274.69801902771,2027.463436126709,10240,7867.329120635986,78.67329120635986,0.001312024142549038,0.0002,0.0015120241425490382
w,4,9100000,36400000,4,1641.8177485466003,10105979,1418.903112411499,7867.329120635986,38.6354923248291,652.9638767242432,325.98328590393066,6220.071315765381,2071.854591369629,10240,7867.329120635986,78.67329120635986,0.001312024142549038,0.0002,0.0015120241425490382
w,4,9100000,36400000,5,1614.9603128433228,10105979,1349.3292331695557,7867.329120635986,38.6354923248291,802.9475212097168,325.98328590393066,6010.4546546936035,2152.231216430664,10240,7867.329120635986,78.67329120635986,0.001312024142549038,0.0002,0.0015120241425490382
w,4,9100000,36400000,6,2018.437147140503,10105979,1447.5715160369873,8073.748588562012,38.6354923248291,682.145357131958,325.98328590393066,7851.796627044678,2129.7054290771484,10240,8073.748588562012,80.73748588562012,0.001346427456009865,0.0002,0.001546427456009865
w,4,9100000,36400000,7,1822.1479058265686,10105979,1449.1691589355469,8073.748588562012,38.6354923248291,709.477424621582,325.98328590393066,7070.185661315918,2158.6344242095947,10240,8073.748588562012,80.73748588562012,0.001346427456009865,0.0002,0.001546427456009865
w,4,9100000,36400000,8,2585.787534713745,10105979,1380.9144496917725,10343.15013885498,38.6354923248291,3567.864418029785,325.98328590393066,7306.297302246094,4948.765754699707,10240,10343.15013885498,103.4315013885498,0.0017246618041925432,0.0002,0.0019246618041925433
w,4,9100000,36400000,9,2120.653450489044,10105979,1374.6042251586914,10343.15013885498,38.6354923248291,1261.9421482086182,325.98328590393066,7496.179103851318,2636.5349292755127,10240,10343.15013885498,103.4315013885498,0.0017246618041925432,0.0002,0.0019246618041925433
