scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,1,9100000,9100000,0,3874.314069747925,10111764,90.86489677429199,3874.314069747925,75.10018348693848,133.30078125,655.2653312683105,3826.7321586608887,224.1528034210205,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,1,3590.803384780884,10111764,89.6461009979248,3874.314069747925,75.10018348693848,93.0330753326416,655.2653312683105,3552.9000759124756,182.66701698303223,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,2,3383.0997943878174,10111764,97.1672534942627,3874.314069747925,75.10018348693848,80.77478408813477,655.2653312683105,3342.850923538208,177.92987823486328,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,3,3353.3313274383545,10111764,80.21926879882812,3874.314069747925,75.10018348693848,79.81753349304199,655.2653312683105,3314.9328231811523,160.02511978149414,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,4,3353.3759117126465,10111764,82.44824409484863,3874.314069747925,75.10018348693848,80.20210266113281,655.2653312683105,3313.4782314300537,162.63723373413086,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,5,3364.7282123565674,10111764,84.09810066223145,3874.314069747925,75.10018348693848,85.86239814758301,655.2653312683105,3321.0537433624268,169.94833946228027,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,6,3367.798089981079,10111764,86.1811637878418,3874.314069747925,75.10018348693848,84.99765396118164,655.2653312683105,3324.1028785705566,171.16618156433105,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,7,3387.1333599090576,10111764,90.92426300048828,3874.314069747925,75.10018348693848,92.0403003692627,655.2653312683105,3340.550422668457,182.9519271850586,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,8,3387.843608856201,10111764,86.67206764221191,3874.314069747925,75.10018348693848,83.71090888977051,655.2653312683105,3345.3891277313232,170.37200927734375,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
w,1,9100000,9100000,9,3371.958017349243,10111764,89.23745155334473,3874.314069747925,75.10018348693848,88.8059139251709,655.2653312683105,3323.986291885376,178.03263664245605,10240,3874.314069747925,38.74314069747925,0.0006459203030626774,0.000125,0.0007709203030626774
