scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,4,9100000,36400000,0,5167.580366134644,40437898,7.091760635375977,20670.321464538574,1822.9777812957764,814.2991065979004
w,4,9100000,36400000,1,4917.076051235199,40437898,8.595705032348633,20670.321464538574,1822.9777812957764,411.9391441345215
w,4,9100000,36400000,2,4666.023731231689,40437898,15.788078308105469,20670.321464538574,1822.9777812957764,204.37860488891602
w,4,9100000,36400000,3,4803.035080432892,40437898,11.040210723876953,20670.321464538574,1822.9777812957764,204.62727546691895
w,4,9100000,36400000,4,4622.240364551544,40437898,5.063295364379883,20670.321464538574,1822.9777812957764,121.0641860961914
w,4,9100000,36400000,5,4586.644470691681,40437898,6.302595138549805,20670.321464538574,1822.9777812957764,47.92380332946777
w,4,9100000,36400000,6,4862.884342670441,40437898,5.962610244750977,20670.321464538574,1822.9777812957764,6.391763687133789
w,4,9100000,36400000,7,4619.300842285156,40437898,6.700038909912109,20670.321464538574,1822.9777812957764,4.456520080566406
w,4,9100000,36400000,8,4743.8488602638245,40437898,6.493806838989258,20670.321464538574,1822.9777812957764,1.1048316955566406
w,4,9100000,36400000,9,4594.754636287689,40437898,8.054256439208984,20670.321464538574,1822.9777812957764,1.287221908569336
