scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,4,9100000,36400000,0,5553.4297823905945,40437898,7.863044738769531,22213.719129562378,2235.3053092956543,524.8205661773682
w,4,9100000,36400000,1,4817.24888086319,40437898,5.504131317138672,22213.719129562378,2235.3053092956543,202.80957221984863
w,4,9100000,36400000,2,4726.472318172455,40437898,5.340814590454102,22213.719129562378,2235.3053092956543,127.51221656799316
w,4,9100000,36400000,3,4665.187120437622,40437898,6.544351577758789,22213.719129562378,2235.3053092956543,30.76457977294922
w,4,9100000,36400000,4,4656.833231449127,40437898,11.69896125793457,22213.719129562378,2235.3053092956543,1.3194084167480469
w,4,9100000,36400000,5,4592.483878135681,40437898,5.356311798095703,22213.719129562378,2235.3053092956543,1.6422271728515625
w,4,9100000,36400000,6,4673.11555147171,40437898,5.766630172729492,22213.719129562378,2235.3053092956543,1.3937950134277344
w,4,9100000,36400000,7,4591.381728649139,40437898,7.134199142456055,22213.719129562378,2235.3053092956543,2.0470619201660156
w,4,9100000,36400000,8,4588.326394557953,40437898,9.932279586791992,22213.719129562378,2235.3053092956543,4.413127899169922
w,4,9100000,36400000,9,4677.314579486847,40437898,8.693218231201172,22213.719129562378,2235.3053092956543,1.3010501861572266
