scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,32,9100000,291200000,0,6294.951647520065,323532114,19.771337509155273,201438.4527206421,267.00520515441895,1416.738748550415
w,32,9100000,291200000,1,5987.307079136372,323532114,19.328832626342773,201438.4527206421,267.00520515441895,478.5037040710449
w,32,9100000,291200000,2,6150.482788681984,323532114,13.71002197265625,201438.4527206421,267.00520515441895,747.4586963653564
w,32,9100000,291200000,3,5654.753416776657,323532114,22.31907844543457,201438.4527206421,267.00520515441895,236.76729202270508
w,32,9100000,291200000,4,5963.466793298721,323532114,13.389348983764648,201438.4527206421,267.00520515441895,641.7748928070068
w,32,9100000,291200000,5,6151.479691267014,323532114,16.13330841064453,201438.4527206421,267.00520515441895,755.9397220611572
w,32,9100000,291200000,6,5952.661402523518,323532114,19.777297973632812,201438.4527206421,267.00520515441895,280.580997467041
w,32,9100000,291200000,7,6273.821175098419,323532114,18.776655197143555,201438.4527206421,267.00520515441895,823.3880996704102
w,32,9100000,291200000,8,6414.397202432156,323532114,20.830392837524414,205260.71047782898,267.00520515441895,984.652042388916
w,32,9100000,291200000,9,5983.849637210369,323532114,13.163566589355469,205260.71047782898,267.00520515441895,199.55015182495117
