scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t,data_gen_t,compute_t,comm_t,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
w,2,50000000,100000000,0,2573.279023170471,1000,2.4788379669189453,5146.558046340942,1173.5365390777588,1126.8422603607178,1593.0883884429932,2573.1847286224365,1129.3063163757324,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,1,2554.5748472213745,1000,2.130270004272461,5146.558046340942,1173.5365390777588,0.5190372467041016,1593.0883884429932,2554.4917583465576,2.6459693908691406,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,2,2558.9927434921265,1000,2.237558364868164,5146.558046340942,1173.5365390777588,0.5958080291748047,1593.0883884429932,2558.9048862457275,2.8307437896728516,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,3,2559.0003728866577,1000,2.099275588989258,5146.558046340942,1173.5365390777588,0.5059242248535156,1593.0883884429932,2558.9728355407715,2.6018619537353516,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,4,2550.842523574829,1000,2.2656917572021484,5146.558046340942,1173.5365390777588,0.4355907440185547,1593.0883884429932,2550.743341445923,2.697467803955078,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,5,2561.127543449402,1000,2.3643970489501953,5146.558046340942,1173.5365390777588,0.4298686981201172,1593.0883884429932,2560.9591007232666,2.7892589569091797,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,6,2548.5119819641113,1000,2.021312713623047,5146.558046340942,1173.5365390777588,0.4379749298095703,1593.0883884429932,2548.4535694122314,2.4492740631103516,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,7,2559.39519405365,1000,2.3450851440429688,5146.558046340942,1173.5365390777588,0.4305839538574219,1593.0883884429932,2559.3056678771973,2.7709007263183594,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,8,2557.6056241989136,1000,1.9526481628417969,5146.558046340942,1173.5365390777588,0.4703998565673828,1593.0883884429932,2557.5530529022217,2.4204254150390625,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
w,2,50000000,100000000,9,2562.5340938568115,1000,2.3758411407470703,5146.558046340942,1173.5365390777588,0.42700767517089844,1593.0883884429932,2562.5252723693848,2.79998779296875,10240,5146.558046340942,51.465580463409424,0.0008581613899095059,0.00015000000000000001,0.001008161389909506
