scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,1,9100000,9100000,0,3229.398488998413,10111764,0.3232690095901489,3229.398488998413
w,1,9100000,9100000,1,3201.115131378174,10111764,0.3201236963272095,3229.398488998413
w,1,9100000,9100000,2,3192.720413208008,10111764,0.31928443908691406,3229.398488998413
w,1,9100000,9100000,3,3193.345308303833,10111764,0.31934680938720705,3229.398488998413
w,1,9100000,9100000,4,3193.2616233825684,10111764,0.3193380117416382,3229.398488998413
w,1,9100000,9100000,5,3196.559429168701,10111764,0.31966798305511473,3229.398488998413
w,1,9100000,9100000,6,3202.115297317505,10111764,0.32022268772125245,3229.398488998413
w,1,9100000,9100000,7,3195.178747177124,10111764,0.3195298910140991,3229.398488998413
w,1,9100000,9100000,8,3197.2813606262207,10111764,0.31973962783813475,3229.398488998413
w,1,9100000,9100000,9,3194.570302963257,10111764,0.31946797370910646,3229.398488998413
