scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,64,9100000,582400000,0,5155.233457684517,647102085,2.3229122161865234,329934.9412918091,74976.23491287231,206.35247230529785
w,64,9100000,582400000,1,5348.658535629511,647102085,2.4809837341308594,342314.1462802887,74976.23491287231,310.52207946777344
w,64,9100000,582400000,2,5395.947281271219,647102085,2.3751258850097656,345340.62600135803,74976.23491287231,413.0747318267822
w,64,9100000,582400000,3,5159.27017480135,647102085,2.2420883178710938,345340.62600135803,74976.23491287231,112.92695999145508
w,64,9100000,582400000,4,5253.503650426865,647102085,2.5501251220703125,345340.62600135803,74976.23491287231,256.24585151672363
w,64,9100000,582400000,5,5419.06313598156,647102085,2.4025440216064453,346820.0407028198,74976.23491287231,384.6876621246338
w,64,9100000,582400000,6,5259.309697896242,647102085,2.5260448455810547,346820.0407028198,74976.23491287231,126.27840042114258
w,64,9100000,582400000,7,5193.851120769978,647102085,2.4957656860351562,346820.0407028198,74976.23491287231,30.0753116607666
w,64,9100000,582400000,8,5074.833322316408,647102085,2.2940635681152344,346820.0407028198,74976.23491287231,153.27858924865723
w,64,9100000,582400000,9,5484.928745776415,647102085,2.6280879974365234,351035.43972969055,74976.23491287231,403.66458892822266
