scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,8,9100000,72800000,0,4278.076231479645,80888085,0.4279679298400879,4278.0921459198
w,8,9100000,72800000,1,4304.193049669266,80888085,0.43057003021240237,4304.297924041748
w,8,9100000,72800000,2,4461.411416530609,80888085,0.44630625247955324,4461.584091186523
w,8,9100000,72800000,3,4401.7119109630585,80888085,0.440329909324646,4461.584091186523
w,8,9100000,72800000,4,4301.366865634918,80888085,0.43029155731201174,4461.584091186523
w,8,9100000,72800000,5,4341.2909507751465,80888085,0.4342991828918457,4461.584091186523
w,8,9100000,72800000,6,4305.565595626831,80888085,0.4307078838348389,4461.584091186523
w,8,9100000,72800000,7,4276.102632284164,80888085,0.42776319980621336,4461.584091186523
w,8,9100000,72800000,8,4431.969612836838,80888085,0.443339467048645,4461.584091186523
w,8,9100000,72800000,9,4222.577273845673,80888085,0.42240569591522215,4461.584091186523
