scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,2,9100000,18200000,0,3945.7201957702637,20222454,0.39473040103912355,3945.7294940948486
w,2,9100000,18200000,1,3934.03422832489,20222454,0.393464994430542,3945.7294940948486
w,2,9100000,18200000,2,3900.123715400696,20222454,0.3900733470916748,3945.7294940948486
w,2,9100000,18200000,3,3927.3051023483276,20222454,0.39279067516326904,3945.7294940948486
w,2,9100000,18200000,4,3941.4185285568237,20222454,0.39420480728149415,3945.7294940948486
w,2,9100000,18200000,5,3892.952084541321,20222454,0.3893589496612549,3945.7294940948486
w,2,9100000,18200000,6,3914.3279790878296,20222454,0.3914989948272705,3945.7294940948486
w,2,9100000,18200000,7,3909.9886417388916,20222454,0.3910601377487183,3945.7294940948486
w,2,9100000,18200000,8,3902.2538661956787,20222454,0.3902862310409546,3945.7294940948486
w,2,9100000,18200000,9,3915.710926055908,20222454,0.3916313171386719,3945.7294940948486
