scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
w,8,9100000,72800000,0,4284.945487976074,80888085,0.4286616802215576,4284.960508346558
w,8,9100000,72800000,1,4250.709444284439,80888085,0.4252037048339844,4284.960508346558
w,8,9100000,72800000,2,4363.9461398124695,80888085,0.43655896186828613,4363.889455795288
w,8,9100000,72800000,3,4197.918921709061,80888085,0.419925594329834,4363.889455795288
w,8,9100000,72800000,4,4240.803271532059,80888085,0.424237060546875,4363.889455795288
w,8,9100000,72800000,5,4271.40399813652,80888085,0.4272893190383911,4363.889455795288
w,8,9100000,72800000,6,4297.861754894257,80888085,0.429928183555603,4363.889455795288
w,8,9100000,72800000,7,4395.079076290131,80888085,0.43964126110076907,4395.0254917144775
w,8,9100000,72800000,8,4333.680838346481,80888085,0.4335007667541504,4395.0254917144775
w,8,9100000,72800000,9,4218.708276748657,80888085,0.421999192237854,4395.0254917144775
