scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,32,142187,4550000,0,38.45459967851639,568748,514.3482685089111,1230.5471897125244,1.3668537139892578,132.95507431030273
s,32,142187,4550000,1,40.47386348247528,568748,424.72314834594727,1295.163631439209,1.3668537139892578,62.308549880981445
s,32,142187,4550000,2,34.201912581920624,568748,410.1746082305908,1295.163631439209,1.3668537139892578,69.11158561706543
s,32,142187,4550000,3,33.245593309402466,568748,394.5767879486084,1295.163631439209,1.3668537139892578,35.31169891357422
s,32,142187,4550000,4,36.07635945081711,568748,398.7455368041992,1295.163631439209,1.3668537139892578,49.489736557006836
s,32,142187,4550000,5,42.90681332349777,568748,387.8026008605957,1373.0180263519287,1.3668537139892578,103.74236106872559
s,32,142187,4550000,6,33.685870468616486,568748,401.66187286376953,1373.0180263519287,1.3668537139892578,53.542375564575195
s,32,142187,4550000,7,39.51653838157654,568748,394.17481422424316,1373.0180263519287,1.3668537139892578,52.06871032714844
s,32,142187,4550000,8,33.73061120510101,568748,405.4381847381592,1373.0180263519287,1.3668537139892578,34.31129455566406
s,32,142187,4550000,9,35.23855656385422,568748,404.9851894378662,1373.0180263519287,1.3668537139892578,29.811620712280273
