world,iteration,com_init_t,barrier_latency_ms,msg_size_bytes,allreduce_latency_ms,allreduce_bandwidth_mbps,lambda_memory_mb,lambda_duration_ms,lambda_gb_seconds,lambda_cost_usd,step_fn_cost_usd,total_cost_usd
8,0,7186.516046524048,5.015730857849121,8,5.234622955322266,0.001457486928164113,10240,7228.174138069153,72.28174138069153,0.0012062980990695715,0.00030000000000000003,0.0015062980990695717
8,0,7186.516046524048,5.015730857849121,64,6.530952453613281,0.009345521450892206,10240,7237.24844455719,72.3724844455719,0.0012078104865090133,0.00030000000000000003,0.0015078104865090133
8,0,7186.516046524048,5.015730857849121,512,5.333757400512695,0.09154545535818052,10240,7228.868079185486,72.28868079185486,0.0012064137561536075,0.00030000000000000003,0.0015064137561536075
8,0,7186.516046524048,5.015730857849121,4096,5.078983306884766,0.7691007754849128,10240,7227.08466053009,72.2708466053009,0.0012061165191165687,0.00030000000000000003,0.0015061165191165688
8,0,7186.516046524048,5.015730857849121,32768,5.097198486328125,6.130818739709624,10240,7227.212166786194,72.27212166786194,0.0012061377702017547,0.00030000000000000003,0.0015061377702017546
8,0,7186.516046524048,5.015730857849121,262144,5.6255340576171875,44.440225130535026,10240,7230.910515785217,72.30910515785217,0.001206754162934375,0.00030000000000000003,0.001506754162934375
8,0,7186.516046524048,5.015730857849121,1048576,6.012701988220215,166.31457902938646,10240,7233.6206912994385,72.33620691299438,0.0012072058597568036,0.00030000000000000003,0.0015072058597568037
8,1,7186.516046524048,2.5526046752929688,8,5.143404006958008,0.0014833356510452881,10240,7225.072479248047,72.25072479248047,0.0012057811548988344,0.00030000000000000003,0.0015057811548988345
8,1,7186.516046524048,2.5526046752929688,64,5.254888534545898,0.011614928813190204,10240,7225.852870941162,72.25852870941162,0.0012059112204411508,0.00030000000000000003,0.001505911220441151
8,1,7186.516046524048,2.5526046752929688,512,5.436110496520996,0.08982180371655256,10240,7227.121424674988,72.27121424674988,0.0012061226464863063,0.00030000000000000003,0.0015061226464863063
8,1,7186.516046524048,2.5526046752929688,4096,5.170845985412598,0.7554373135498269,10240,7225.264573097229,72.25264573097229,0.0012058131706043959,0.00030000000000000003,0.001505813170604396
8,1,7186.516046524048,2.5526046752929688,32768,5.4702043533325195,5.712766467483449,10240,7227.3600816726685,72.27360081672668,0.0012061624227321388,0.00030000000000000003,0.001506162422732139
8,1,7186.516046524048,2.5526046752929688,262144,5.345439910888672,46.76883552478992,10240,7226.4867305755615,72.26486730575562,0.0012060168639248371,0.00030000000000000003,0.0015060168639248373
8,1,7186.516046524048,2.5526046752929688,1048576,6.627655029296875,150.8829285138713,10240,7235.462236404419,72.35462236404419,0.0012075127845548154,0.00030000000000000003,0.0015075127845548156
8,2,7186.516046524048,3.206467628479004,8,5.1670074462890625,0.0014765596160944998,10240,7225.89156627655,72.2589156627655,0.001205917669676614,0.00030000000000000003,0.001505917669676614
8,2,7186.516046524048,3.206467628479004,64,6.849098205566406,0.008911414965607508,10240,7237.666201591492,72.37666201591492,0.0012078801128206492,0.00030000000000000003,0.0015078801128206492
8,2,7186.516046524048,3.206467628479004,512,6.129717826843262,0.07965803056410176,10240,7232.63053894043,72.3263053894043,0.0012070408340335848,0.00030000000000000003,0.0015070408340335847
8,2,7186.516046524048,3.206467628479004,4096,5.013394355773926,0.7791627234552518,10240,7224.816274642944,72.24816274642944,0.0012057384540459157,0.00030000000000000003,0.0015057384540459158
8,2,7186.516046524048,3.206467628479004,32768,5.15141487121582,6.066294558144271,10240,7225.782418251038,72.25782418251038,0.0012058994783026458,0.00030000000000000003,0.001505899478302646
8,2,7186.516046524048,3.206467628479004,262144,5.406332015991211,46.24207304703693,10240,7227.566838264465,72.27566838264465,0.0012061968822330237,0.00030000000000000003,0.0015061968822330236
8,2,7186.516046524048,3.206467628479004,1048576,7.198500633239746,138.91781788313068,10240,7240.112018585205,72.40112018585205,0.0012082877498015405,0.00030000000000000003,0.0015082877498015404
8,3,7186.516046524048,2.4683475494384766,8,5.072593688964844,0.001504042113179169,10240,7224.49254989624,72.2449254989624,0.0012056844998135567,0.00030000000000000003,0.0015056844998135566
8,3,7186.516046524048,2.4683475494384766,64,6.865835189819336,0.008889691430476363,10240,7237.045240402222,72.37045240402222,0.0012077766190821172,0.00030000000000000003,0.0015077766190821173
8,3,7186.516046524048,2.4683475494384766,512,5.123662948608398,0.09529925268261812,10240,7224.850034713745,72.24850034713745,0.0012057440807356358,0.00030000000000000003,0.0015057440807356359
8,3,7186.516046524048,2.4683475494384766,4096,5.494999885559082,0.7108735361879928,10240,7227.4493932724,72.274493932724,0.0012061773080285312,0.00030000000000000003,0.001506177308028531
8,3,7186.516046524048,2.4683475494384766,32768,5.466556549072266,5.716578566319499,10240,7227.250289916992,72.27250289916992,0.0012061441240695954,0.00030000000000000003,0.0015061441240695954
8,3,7186.516046524048,2.4683475494384766,262144,5.28714656829834,47.28448450795683,10240,7225.994420051575,72.25994420051575,0.0012059348120067358,0.00030000000000000003,0.0015059348120067357
8,3,7186.516046524048,2.4683475494384766,1048576,5.864381790161133,170.52095784038704,10240,7230.035066604614,72.30035066604614,0.0012066082544457913,0.00030000000000000003,0.0015066082544457913
8,4,7186.516046524048,2.4608612060546875,8,5.004382133483887,0.0015245427562780194,10240,7224.00758266449,72.2400758266449,0.0012056036717799426,0.00030000000000000003,0.0015056036717799428
8,4,7186.516046524048,2.4608612060546875,64,7.09836483001709,0.008598481158914038,10240,7238.665461540222,72.38665461540222,0.0012080466564785243,0.00030000000000000003,0.0015080466564785242
8,4,7186.516046524048,2.4608612060546875,512,5.224442481994629,0.09346092940687904,10240,7225.548005104065,72.25548005104065,0.0012058604093666792,0.00030000000000000003,0.0015058604093666794
8,4,7186.516046524048,2.4608612060546875,4096,5.025672912597656,0.7772590990170405,10240,7224.156618118286,72.24156618118286,0.0012056285110719205,0.00030000000000000003,0.0015056285110719206
8,4,7186.516046524048,2.4608612060546875,32768,8.586502075195312,3.639433115642632,10240,7249.08242225647,72.4908242225647,0.0012097828200702192,0.00030000000000000003,0.001509782820070219
8,4,7186.516046524048,2.4608612060546875,262144,5.285525321960449,47.29898823136708,10240,7225.975584983826,72.25975584983826,0.0012059316728224995,0.00030000000000000003,0.0015059316728224994
8,4,7186.516046524048,2.4608612060546875,1048576,6.147909164428711,162.65692502191095,10240,7232.0122718811035,72.32012271881104,0.001206937789317608,0.00030000000000000003,0.001506937789317608
8,5,7186.516046524048,2.4628162384033203,8,5.015254020690918,0.0015212379073471036,10240,7224.085640907288,72.24085640907288,0.001205616681513095,0.00030000000000000003,0.001505616681513095
8,5,7186.516046524048,2.4628162384033203,64,5.630946159362793,0.010839236341927096,10240,7228.395485877991,72.28395485877991,0.0012063349904448272,0.00030000000000000003,0.001506334990444827
8,5,7186.516046524048,2.4628162384033203,512,5.217719078063965,0.09358136049386101,10240,7225.502896308899,72.25502896308899,0.0012058528912191153,0.00030000000000000003,0.0015058528912191152
8,5,7186.516046524048,2.4628162384033203,4096,5.324745178222656,0.7336031808575421,10240,7226.25207901001,72.2625207901001,0.0012059777552523613,0.00030000000000000003,0.0015059777552523614
8,5,7186.516046524048,2.4628162384033203,32768,5.508995056152344,5.672540941037981,10240,7227.541828155518,72.27541828155518,0.0012061927138731958,0.00030000000000000003,0.0015061927138731957
8,5,7186.516046524048,2.4628162384033203,262144,5.360317230224609,46.63903072571032,10240,7226.501083374023,72.26501083374023,0.0012060192560626984,0.00030000000000000003,0.0015060192560626983
8,5,7186.516046524048,2.4628162384033203,1048576,7.17005729675293,139.46889942607086,10240,7239.169263839722,72.39169263839722,0.001208130623696375,0.00030000000000000003,0.0015081306236963748
8,6,7186.516046524048,2.662181854248047,8,5.225563049316406,0.0014600138701317664,10240,7225.757169723511,72.25757169723511,0.0012058952702063085,0.00030000000000000003,0.0015058952702063084
8,6,7186.516046524048,2.662181854248047,64,5.251550674438477,0.01162231120554239,10240,7225.939083099365,72.25939083099365,0.001205925589162922,0.00030000000000000003,0.001505925589162922
8,6,7186.516046524048,2.662181854248047,512,6.749629974365234,0.07234192864712116,10240,7236.4256381988525,72.36425638198853,0.0012076733518416882,0.00030000000000000003,0.0015076733518416883
8,6,7186.516046524048,2.662181854248047,4096,5.3707122802734375,0.727324383834079,10240,7226.77321434021,72.2677321434021,0.0012060646113144398,0.00030000000000000003,0.0015060646113144397
8,6,7186.516046524048,2.662181854248047,32768,5.0034284591674805,6.245717362610133,10240,7224.202227592468,72.24202227592468,0.001205636112666154,0.00030000000000000003,0.001505636112666154
8,6,7186.516046524048,2.662181854248047,262144,5.480861663818359,45.61326582102277,10240,7227.544260025024,72.27544260025024,0.0012061931191855908,0.00030000000000000003,0.001506193119185591
8,6,7186.516046524048,2.662181854248047,1048576,6.736350059509277,148.4483423762047,10240,7236.332678794861,72.36332678794861,0.0012076578585767032,0.00030000000000000003,0.0015076578585767031
8,7,7186.516046524048,2.6248931884765625,8,5.586791038513184,0.0013656130108779612,10240,7228.248476982117,72.28248476982117,0.0012063104889131785,0.00030000000000000003,0.0015063104889131785
8,7,7186.516046524048,2.6248931884765625,64,5.873465538024902,0.010391676916269875,10240,7230.255198478699,72.30255198478699,0.0012066449431648494,0.00030000000000000003,0.0015066449431648493
8,7,7186.516046524048,2.6248931884765625,512,7.633781433105469,0.06396322114783999,10240,7242.577409744263,72.42577409744263,0.0012086986491498472,0.00030000000000000003,0.0015086986491498473
