rank,avg_t,tot_l,time1,time2,time3,time4,time5,time6,time7,elapsed_t,max_t,com_init_t,barrier_t
0,522.2330093383789,7,0.00011277198791503906,2.3365020751953125e-05,6.246566772460938e-05,0.0005536079406738281,0.0058095455169677734,0.04698514938354492,0.46865344047546387,3.4182071685791016,522.2330093383789,32.52387046813965,0.028848648071289062
1,523.1170654296875,7,4.601478576660156e-05,1.3113021850585938e-05,6.198883056640625e-05,0.0004107952117919922,0.005494356155395508,0.04704594612121582,0.4700143337249756,0.11992454528808594,523.1170654296875,32.52387046813965,0.020742416381835938
2,519.4063186645508,7,4.792213439941406e-05,1.3113021850585938e-05,5.316734313964844e-05,0.0003731250762939453,0.0054929256439208984,0.0467529296875,0.46663761138916016,0.11467933654785156,523.1170654296875,32.52387046813965,0.018596649169921875
3,523.0176448822021,7,4.839897155761719e-05,1.2874603271484375e-05,5.030632019042969e-05,0.00037407875061035156,0.005487203598022461,0.046846628189086914,0.47016263008117676,0.11467933654785156,523.1170654296875,32.52387046813965,0.018358230590820312
4,520.3132629394531,7,4.649162292480469e-05,1.2874603271484375e-05,4.935264587402344e-05,0.0003757476806640625,0.005522966384887695,0.046677589416503906,0.4675939083099365,0.11515617370605469,523.1170654296875,32.52387046813965,0.016450881958007812
5,524.7805118560791,7,8.034706115722656e-05,2.47955322265625e-05,4.9591064453125e-05,0.0003790855407714844,0.005505561828613281,0.046985626220703125,0.47171926498413086,0.11897087097167969,524.7805118560791,32.52387046813965,0.018358230590820312
6,519.8323726654053,7,5.0067901611328125e-05,1.3828277587890625e-05,4.9591064453125e-05,0.00037384033203125,0.005539894104003906,0.04688692092895508,0.46688151359558105,0.11754035949707031,524.7805118560791,32.52387046813965,0.01811981201171875
7,525.8650779724121,7,4.673004150390625e-05,1.3828277587890625e-05,4.982948303222656e-05,0.0003745555877685547,0.00724339485168457,0.047156333923339844,0.4709451198577881,0.12183189392089844,525.8650779724121,32.52387046813965,0.017642974853515625
8,521.3391780853271,7,4.935264587402344e-05,1.3828277587890625e-05,5.030632019042969e-05,0.0003714561462402344,0.00552821159362793,0.04737496376037598,0.46791529655456543,0.11420249938964844,525.8650779724121,32.52387046813965,0.016927719116210938
9,522.6457118988037,7,4.744529724121094e-05,1.3828277587890625e-05,5.5789947509765625e-05,0.0003781318664550781,0.005564212799072266,0.04694032669067383,0.46961283683776855,0.11658668518066406,525.8650779724121,32.52387046813965,0.016927719116210938
