channel,collective,msg_size,payload_bytes,latency_p50_ms,latency_p99_ms,latency_mean_ms,throughput_MBps,barrier_latency_ms,reps,unsupported,rank,world_size,N,run_id
fmi-direct-redis,scatter,8,8,0.077734,0.114852,0.079584,0.0981,0.0,20,False,0,8,8,2
fmi-direct-redis,scatter,64,64,0.077143,0.09953,0.07859,0.7912,0.0,20,False,0,8,8,2
fmi-direct-redis,scatter,512,512,0.076454,0.087561,0.078143,6.3866,0.0,20,False,0,8,8,2
fmi-direct-redis,scatter,4096,4096,0.097833,0.122405,0.098072,39.9279,0.0,20,False,0,8,8,2
fmi-direct-redis,scatter,32768,32768,0.24953,0.326944,0.25547,125.2354,0.0,20,False,0,8,8,2
fmi-direct-redis,scatter,262144,262144,1.345923,1.457888,1.344387,185.7461,0.0,20,False,0,8,8,2
fmi-direct-redis,scatter,1048576,1048576,16.421493,16.711244,16.352716,60.8958,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,8,4,0.071737,0.091727,0.074163,0.0532,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,64,8,0.071081,0.075608,0.071293,0.1073,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,512,64,0.073442,0.083426,0.074755,0.8311,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,4096,512,0.089202,0.098932,0.089952,5.4739,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,32768,4096,0.172535,0.204169,0.174494,22.6403,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,262144,32768,0.663532,0.748695,0.681243,47.0965,0.0,20,False,0,8,8,2
fmi-direct-redis,scatterv,1048576,131072,3.294303,3.898141,3.308622,37.9443,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,8,8,1.804963,2.214889,1.786703,0.0042,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,64,64,1.587191,1.695201,1.596244,0.0385,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,512,512,1.594717,1.626595,1.589492,0.3062,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,4096,4096,1.59981,1.683537,1.597959,2.4417,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,32768,32768,1.628811,1.700439,1.625726,19.1858,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,262144,262144,2.004971,2.390258,2.029712,124.6901,0.0,20,False,0,8,8,2
fmi-direct-redis,gather,1048576,1048576,7.3747,7.910857,7.330202,135.5987,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,8,8,1.769577,1.930653,1.748675,0.0043,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,64,64,1.66096,1.98575,1.661129,0.0367,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,512,512,1.771261,1.953525,1.755628,0.2757,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,4096,4096,1.662296,1.780507,1.623191,2.3499,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,32768,32768,1.561381,1.860727,1.583671,20.0143,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,262144,262144,6.562783,6.880796,6.342691,38.0936,0.0,20,False,0,8,8,2
fmi-direct-redis,allgather,1048576,1048576,23.276682,24.627088,23.032532,42.9614,0.0,20,False,0,8,8,2
fmi-direct-redis,reduce,8,8,1.421299,1.444312,1.420351,0.0054,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,8,8,0.063185,0.07157,0.063795,0.1207,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,64,64,0.065921,0.07472,0.066591,0.9259,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,512,512,0.064046,0.069501,0.064144,7.6239,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,4096,4096,0.063652,0.096486,0.0651,61.3688,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,32768,32768,0.089032,0.098398,0.089898,350.9974,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,262144,262144,0.279036,0.320461,0.275147,895.9401,0.0,20,False,0,8,8,2
fmi-direct-redis,broadcast,1048576,1048576,0.855571,0.94369,0.833577,1168.8101,0.0,20,False,0,8,8,2
fmi-direct-redis,allreduce,8,8,1.465875,1.566896,1.477475,0.0052,0.0,20,False,0,8,8,2
fmi-direct-redis,barrier,0,0,0.733256,0.851356,0.734028,0.0,0.733256,20,False,0,8,8,2
