scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,64,71093,4550000,0,137.08777353167534,5058011,2.7992725372314453,8773.617506027222,68020.02882957458,9.650230407714844
s,64,71093,4550000,1,105.20757362246513,5058011,2.6602745056152344,8773.617506027222,68020.02882957458,4.658937454223633
s,64,71093,4550000,2,104.06749323010445,5058011,2.5634765625,8773.617506027222,68020.02882957458,3.728151321411133
s,64,71093,4550000,3,98.85352849960327,5058011,2.652883529663086,8773.617506027222,68020.02882957458,5.295515060424805
s,64,71093,4550000,4,107.0696972310543,5058011,2.351999282836914,8773.617506027222,68020.02882957458,5.614280700683594
s,64,71093,4550000,5,106.65490478277206,5058011,2.691984176635742,8773.617506027222,68020.02882957458,3.9072036743164062
s,64,71093,4550000,6,104.29051145911217,5058011,3.2181739807128906,8773.617506027222,68020.02882957458,4.166841506958008
s,64,71093,4550000,7,109.30419340729713,5058011,2.5539398193359375,8773.617506027222,68020.02882957458,5.136728286743164
s,64,71093,4550000,8,101.11409425735474,5058011,2.4764537811279297,8773.617506027222,68020.02882957458,2.6161670684814453
s,64,71093,4550000,9,105.82246258854866,5058011,3.795146942138672,8773.617506027222,68020.02882957458,4.509925842285156
