scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,2,2275000,4550000,0,950.8827924728394,5057593,0.09516947269439698,950.8929252624512
s,2,2275000,4550000,1,927.7178049087524,5057593,0.09285013675689698,950.8929252624512
s,2,2275000,4550000,2,925.3424406051636,5057593,0.09260587692260742,950.8929252624512
s,2,2275000,4550000,3,932.8266382217407,5057593,0.09336469173431397,950.8929252624512
s,2,2275000,4550000,4,938.4720325469971,5057593,0.09392716884613037,950.8929252624512
s,2,2275000,4550000,5,931.0050010681152,5057593,0.09317834377288818,950.8929252624512
s,2,2275000,4550000,6,929.7064542770386,5057593,0.09304983615875244,950.8929252624512
s,2,2275000,4550000,7,946.5382099151611,5057593,0.09473655223846436,950.8929252624512
s,2,2275000,4550000,8,945.0875520706177,5057593,0.09459123611450196,950.8929252624512
s,2,2275000,4550000,9,931.3541650772095,5057593,0.09321358203887939,950.8929252624512
