scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
s,2,2275000,4550000,0,1000.4845857620239,5057593,0.7655620574951172,2000.9691715240479,1476.0520458221436,15.474081039428711
s,2,2275000,4550000,1,992.6002025604248,5057593,0.5738735198974609,2000.9691715240479,1476.0520458221436,2.5246143341064453
s,2,2275000,4550000,2,970.6841707229614,5057593,0.5791187286376953,2000.9691715240479,1476.0520458221436,7.3986053466796875
s,2,2275000,4550000,3,976.855993270874,5057593,0.7312297821044922,2000.9691715240479,1476.0520458221436,0.11968612670898438
s,2,2275000,4550000,4,966.7332172393799,5057593,0.6227493286132812,2000.9691715240479,1476.0520458221436,8.846759796142578
s,2,2275000,4550000,5,970.6600904464722,5057593,0.5815029144287109,2000.9691715240479,1476.0520458221436,12.109994888305664
s,2,2275000,4550000,6,970.993161201477,5057593,0.7097721099853516,2000.9691715240479,1476.0520458221436,0.12421607971191406
s,2,2275000,4550000,7,973.349928855896,5057593,0.5767345428466797,2000.9691715240479,1476.0520458221436,14.525175094604492
s,2,2275000,4550000,8,971.6472625732422,5057593,0.5619525909423828,2000.9691715240479,1476.0520458221436,10.59103012084961
s,2,2275000,4550000,9,973.8724231719971,5057593,0.5948543548583984,2000.9691715240479,1476.0520458221436,8.52823257446289
