scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,4,1137500,4550000,0,369.2375421524048,4550000,0.27800424098968507,369.14801597595215
s,4,1137500,4550000,1,224.93606805801392,4550000,0.23603613376617433,369.14801597595215
s,4,1137500,4550000,2,253.42589616775513,4550000,0.24086360931396483,369.14801597595215
s,4,1137500,4550000,3,235.34560203552246,4550000,0.23702919483184814,369.14801597595215
s,4,1137500,4550000,4,250.18692016601562,4550000,0.24260323047637938,369.14801597595215
s,4,1137500,4550000,5,248.14468622207642,4550000,0.24097471237182616,369.14801597595215
s,4,1137500,4550000,6,250.41550397872925,4550000,0.24103693962097167,369.14801597595215
s,4,1137500,4550000,7,253.0817985534668,4550000,0.24071311950683594,369.14801597595215
s,4,1137500,4550000,8,239.59320783615112,4550000,0.23812921047210694,369.14801597595215
s,4,1137500,4550000,9,223.49923849105835,4550000,0.23769216537475585,369.14801597595215
