scaling,world,rows,max_value,rank,avg_t,tot_l,avg_l,max_t
s,4,1137500,4550000,0,206.16793632507324,4550000,0.24782898426055908,206.42876625061035
s,4,1137500,4550000,1,227.6839017868042,4550000,0.24172804355621338,227.62799263000488
s,4,1137500,4550000,2,243.48872900009155,4550000,0.24107201099395753,243.53885650634766
s,4,1137500,4550000,3,224.9068021774292,4550000,0.23868119716644287,243.53885650634766
s,4,1137500,4550000,4,251.62160396575928,4550000,0.24309468269348145,251.57618522644043
s,4,1137500,4550000,5,224.47091341018677,4550000,0.24482312202453613,251.57618522644043
s,4,1137500,4550000,6,242.44552850723267,4550000,0.24557900428771973,251.57618522644043
s,4,1137500,4550000,7,227.58007049560547,4550000,0.2440704584121704,251.57618522644043
s,4,1137500,4550000,8,247.25276231765747,4550000,0.25137739181518554,251.57618522644043
s,4,1137500,4550000,9,237.4076247215271,4550000,0.24185950756073,251.57618522644043
