scaling,world,rows,max_value,rank,avg_t,tot_l
s,16,284375,4550000,0,74.65142011642456,1137500
s,16,284375,4550000,1,65.05492329597473,1137500
s,16,284375,4550000,2,89.79398012161255,1137500
s,16,284375,4550000,3,62.72880733013153,1137500
s,16,284375,4550000,4,60.671597719192505,1137500
s,16,284375,4550000,5,63.25836479663849,1137500
s,16,284375,4550000,6,63.341155648231506,1137500
s,16,284375,4550000,7,57.84735083580017,1137500
s,16,284375,4550000,8,61.614990234375,1137500
s,16,284375,4550000,9,64.0677809715271,1137500
s,16,284375,4550000,0,65.28380513191223,1137500
s,16,284375,4550000,1,66.26465916633606,1137500
s,16,284375,4550000,2,67.8110271692276,1137500
s,16,284375,4550000,3,59.58016216754913,1137500
s,16,284375,4550000,4,57.88438022136688,1137500
s,16,284375,4550000,5,56.51178956031799,1137500
s,16,284375,4550000,6,74.2134153842926,1137500
s,16,284375,4550000,7,59.01964008808136,1137500
s,16,284375,4550000,8,56.71779811382294,1137500
s,16,284375,4550000,9,59.30019915103912,1137500
