scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,16,9100000,145600000,0,5259.724825620651,161774191,22.141218185424805,84155.59720993042,609.3547344207764,301.06067657470703
w,16,9100000,145600000,1,6087.123841047287,161774191,13.612985610961914,97393.98145675659,609.3547344207764,768.0728435516357
w,16,9100000,145600000,2,5472.866281867027,161774191,15.676259994506836,97393.98145675659,609.3547344207764,244.37785148620605
w,16,9100000,145600000,3,5841.982647776604,161774191,12.83407211303711,97393.98145675659,609.3547344207764,546.2744235992432
w,16,9100000,145600000,4,5391.593858599663,161774191,14.518976211547852,97393.98145675659,609.3547344207764,127.70223617553711
w,16,9100000,145600000,5,5351.52941942215,161774191,13.343095779418945,97393.98145675659,609.3547344207764,69.85831260681152
w,16,9100000,145600000,6,5616.3526475429535,161774191,13.744115829467773,97393.98145675659,609.3547344207764,236.96446418762207
w,16,9100000,145600000,7,5652.508571743965,161774191,15.019655227661133,97393.98145675659,609.3547344207764,373.0590343475342
w,16,9100000,145600000,8,6308.647260069847,161774191,18.014907836914062,100938.35616111755,609.3547344207764,1041.3272380828857
w,16,9100000,145600000,9,6281.78034722805,161774191,17.321348190307617,100938.35616111755,609.3547344207764,925.5516529083252
