scaling,world,rows,max_value,rank,avg_t,tot_l,elapsed_t,max_t,com_init_t,barrier_t
w,16,9100000,145600000,0,3120.728000998497,36400000,22782.350063323975,49931.64801597595,6.241083145141602,1544.5399284362793
w,16,9100000,145600000,1,2201.6484141349792,36400000,21084.25521850586,49931.64801597595,6.241083145141602,2094.9153900146484
w,16,9100000,145600000,2,2174.650549888611,36400000,21095.58391571045,49931.64801597595,6.241083145141602,1764.0879154205322
w,16,9100000,145600000,3,2209.2965245246887,36400000,21093.833208084106,49931.64801597595,6.241083145141602,1841.2673473358154
w,16,9100000,145600000,4,2195.8716213703156,36400000,21313.103199005127,49931.64801597595,6.241083145141602,1891.352653503418
w,16,9100000,145600000,5,2175.6708174943924,36400000,21161.74817085266,49931.64801597595,6.241083145141602,1900.073766708374
w,16,9100000,145600000,6,2196.3669508695602,36400000,21000.287294387817,49931.64801597595,6.241083145141602,2113.0852699279785
w,16,9100000,145600000,7,2222.1890091896057,36400000,21039.833784103394,49931.64801597595,6.241083145141602,1637.9921436309814
w,16,9100000,145600000,8,2201.271414756775,36400000,20936.671257019043,49931.64801597595,6.241083145141602,1763.3044719696045
w,16,9100000,145600000,9,2196.047380566597,36400000,21062.328338623047,49931.64801597595,6.241083145141602,1900.4292488098145
